output_section,window_id,primary_dimension,secondary_dimension,tertiary_dimension,aggregate_count,metric_1,metric_2,metric_3,metric_4,metric_5,metric_note
PRIMITIVE_CONFIDENCE_SUMMARY,window_1,trust_interpretability,EVIDENCE_GAP,confidence_tier,6,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_1,abandonment_or_continuation,SMALL_CELL_SUPPRESSED,confidence_tier,0,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_1,iteration_or_refinement,SMALL_CELL_SUPPRESSED,confidence_tier,0,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_1,recovery_or_post_friction_continuation,SMALL_CELL_SUPPRESSED,confidence_tier,0,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_2,iteration_or_refinement,HEAVY_RETRY_OR_REFINEMENT_LOOP,confidence_tier,12,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_2,recovery_or_post_friction_continuation,NO_FRICTION_OBSERVED,confidence_tier,8,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_2,abandonment_or_continuation,NO_OBSERVED_TERMINAL_EVIDENCE,confidence_tier,7,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_2,trust_interpretability,EVIDENCE_GAP,confidence_tier,7,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_2,trust_interpretability,STRUCTURAL_VERIFICATION_EVIDENCE,confidence_tier,7,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_2,recovery_or_post_friction_continuation,DIRECT_POST_FRICTION_SUCCESS,confidence_tier,6,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_2,abandonment_or_continuation,SMALL_CELL_SUPPRESSED,confidence_tier,0,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_2,iteration_or_refinement,SMALL_CELL_SUPPRESSED,confidence_tier,0,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_3,iteration_or_refinement,HEAVY_RETRY_OR_REFINEMENT_LOOP,confidence_tier,13,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_3,recovery_or_post_friction_continuation,DIRECT_POST_FRICTION_SUCCESS,confidence_tier,9,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_3,abandonment_or_continuation,NOT_ABANDONMENT_EVIDENCED,confidence_tier,8,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_3,trust_interpretability,STRUCTURAL_VERIFICATION_EVIDENCE,confidence_tier,8,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_3,abandonment_or_continuation,NO_OBSERVED_TERMINAL_EVIDENCE,confidence_tier,5,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_3,recovery_or_post_friction_continuation,NO_FRICTION_OBSERVED,confidence_tier,5,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_3,trust_interpretability,EVIDENCE_GAP,confidence_tier,5,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_3,abandonment_or_continuation,SMALL_CELL_SUPPRESSED,confidence_tier,0,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_3,iteration_or_refinement,SMALL_CELL_SUPPRESSED,confidence_tier,0,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_3,trust_interpretability,SMALL_CELL_SUPPRESSED,confidence_tier,0,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
