window,window_start,window_end,verification_event_type,expected_parent_surface,attribution_tier,attribution_result,signal_count,attributed_signal_count,attribution_rate,distinct_signal_users,candidate_parent_count,candidate_surface_count,expected_parent_count,attribution_status
2,2026-02-21,2026-04-22,AI_ANSWER_VOTE,workflow:AI_ANSWER,EXACT_PARENT_KEY,CROSS_SURFACE_ALIAS,3573,0,0.0,2594,3600,3600,0,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS
2,2026-02-21,2026-04-22,AI_ANSWER_VOTE,workflow:AI_ANSWER,NO_PARENT,SMALL_CELL_SUPPRESSED,,,,,,,,SMALL_CELL_SUPPRESSED
2,2026-02-21,2026-04-22,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,EXACT_PARENT_KEY,AMBIGUOUS_PARENT,112,0,0.0,41,224,224,112,TRUST_ATTRIBUTION_AMBIGUOUS
2,2026-02-21,2026-04-22,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,EXACT_PARENT_KEY,STRICT_PARENT_ATTRIBUTION,37,37,1.0,33,37,37,37,TRUST_ATTRIBUTION_STRICT
2,2026-02-21,2026-04-22,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,NO_PARENT,NO_PARENT,244,0,0.0,93,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
2,2026-02-21,2026-04-22,CHAT_CITATIONS,workflow:CHAT,EXACT_PARENT_KEY,CROSS_SURFACE_ALIAS,4650,0,0.0,175,4650,4650,0,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS
2,2026-02-21,2026-04-22,CHAT_CITATIONS,workflow:CHAT,EXACT_PARENT_KEY,STRICT_PARENT_ATTRIBUTION,706,706,1.0,140,706,706,706,TRUST_ATTRIBUTION_STRICT
2,2026-02-21,2026-04-22,CHAT_CITATIONS,workflow:CHAT,NO_PARENT,NO_PARENT,434431,0,0.0,38309,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
2,2026-02-21,2026-04-22,CHAT_CITATION_CLICK,workflow:CHAT,EXACT_PARENT_KEY,CROSS_SURFACE_ALIAS,127042,0,0.0,43317,127042,127042,0,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS
2,2026-02-21,2026-04-22,CHAT_CITATION_CLICK,workflow:CHAT,NO_PARENT,NO_PARENT,98,0,0.0,18,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
2,2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,EXACT_PARENT_KEY,AMBIGUOUS_PARENT,2526,0,0.0,1631,2549,5045,2549,TRUST_ATTRIBUTION_AMBIGUOUS
2,2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,EXACT_PARENT_KEY,CROSS_SURFACE_ALIAS,105079,0,0.0,39269,105079,105079,0,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS
2,2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,EXACT_PARENT_KEY,STRICT_PARENT_ATTRIBUTION,149162,149162,1.0,53048,149162,149162,149162,TRUST_ATTRIBUTION_STRICT
2,2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,NO_PARENT,NO_PARENT,55859,0,0.0,20374,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
2,2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,SESSION_PARENT_KEY,AMBIGUOUS_PARENT,246,0,0.0,171,1008,246,1008,TRUST_ATTRIBUTION_AMBIGUOUS
2,2026-02-21,2026-04-22,CHAT_FEEDBACK,workflow:CHAT,SESSION_PARENT_KEY,SESSION_PARENT_ATTRIBUTION,205,205,1.0,134,205,205,205,TRUST_ATTRIBUTION_SESSION
2,2026-02-21,2026-04-22,SEARCH_FEEDBACK,standalone:SEARCH,EXACT_PARENT_KEY,AMBIGUOUS_PARENT,15,0,0.0,10,30,30,15,TRUST_ATTRIBUTION_AMBIGUOUS
2,2026-02-21,2026-04-22,SEARCH_FEEDBACK,standalone:SEARCH,EXACT_PARENT_KEY,STRICT_PARENT_ATTRIBUTION,947,947,1.0,578,947,947,947,TRUST_ATTRIBUTION_STRICT
2,2026-02-21,2026-04-22,SEARCH_FEEDBACK,standalone:SEARCH,NO_PARENT,NO_PARENT,2196,0,0.0,1322,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
3,2026-01-22,2026-03-23,AI_ANSWER_VOTE,workflow:AI_ANSWER,EXACT_PARENT_KEY,CROSS_SURFACE_ALIAS,4356,0,0.0,3261,4375,4375,0,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS
3,2026-01-22,2026-03-23,AI_ANSWER_VOTE,workflow:AI_ANSWER,NO_PARENT,SMALL_CELL_SUPPRESSED,,,,,,,,SMALL_CELL_SUPPRESSED
3,2026-01-22,2026-03-23,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,EXACT_PARENT_KEY,AMBIGUOUS_PARENT,86,0,0.0,34,172,172,86,TRUST_ATTRIBUTION_AMBIGUOUS
3,2026-01-22,2026-03-23,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,EXACT_PARENT_KEY,STRICT_PARENT_ATTRIBUTION,27,27,1.0,23,27,27,27,TRUST_ATTRIBUTION_STRICT
3,2026-01-22,2026-03-23,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,NO_PARENT,NO_PARENT,388,0,0.0,113,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
3,2026-01-22,2026-03-23,CHAT_CITATIONS,workflow:CHAT,EXACT_PARENT_KEY,CROSS_SURFACE_ALIAS,4803,0,0.0,270,4803,4803,0,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS
3,2026-01-22,2026-03-23,CHAT_CITATIONS,workflow:CHAT,EXACT_PARENT_KEY,STRICT_PARENT_ATTRIBUTION,948,948,1.0,323,948,948,948,TRUST_ATTRIBUTION_STRICT
3,2026-01-22,2026-03-23,CHAT_CITATIONS,workflow:CHAT,NO_PARENT,NO_PARENT,284185,0,0.0,24130,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
3,2026-01-22,2026-03-23,CHAT_CITATION_CLICK,workflow:CHAT,EXACT_PARENT_KEY,CROSS_SURFACE_ALIAS,248166,0,0.0,71916,248166,248166,0,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS
3,2026-01-22,2026-03-23,CHAT_CITATION_CLICK,workflow:CHAT,NO_PARENT,NO_PARENT,129,0,0.0,46,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
3,2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,EXACT_PARENT_KEY,AMBIGUOUS_PARENT,847,0,0.0,375,850,1692,850,TRUST_ATTRIBUTION_AMBIGUOUS
3,2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,EXACT_PARENT_KEY,CROSS_SURFACE_ALIAS,62264,0,0.0,20656,62264,62264,0,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS
3,2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,EXACT_PARENT_KEY,STRICT_PARENT_ATTRIBUTION,72867,72867,1.0,28752,72867,72867,72867,TRUST_ATTRIBUTION_STRICT
3,2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,NO_PARENT,NO_PARENT,107258,0,0.0,35420,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
3,2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,SESSION_PARENT_KEY,AMBIGUOUS_PARENT,93,0,0.0,60,382,93,382,TRUST_ATTRIBUTION_AMBIGUOUS
3,2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,SESSION_PARENT_KEY,SESSION_PARENT_ATTRIBUTION,72,72,1.0,43,72,72,72,TRUST_ATTRIBUTION_SESSION
3,2026-01-22,2026-03-23,SEARCH_FEEDBACK,standalone:SEARCH,EXACT_PARENT_KEY,AMBIGUOUS_PARENT,32,0,0.0,8,64,64,32,TRUST_ATTRIBUTION_AMBIGUOUS
3,2026-01-22,2026-03-23,SEARCH_FEEDBACK,standalone:SEARCH,EXACT_PARENT_KEY,STRICT_PARENT_ATTRIBUTION,852,852,1.0,529,852,852,852,TRUST_ATTRIBUTION_STRICT
3,2026-01-22,2026-03-23,SEARCH_FEEDBACK,standalone:SEARCH,NO_PARENT,NO_PARENT,7791,0,0.0,1808,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
